INCIDENT_ID,ROOT_NE_ID,ROOT_NE_NAME,LABEL_SOURCE,PRIORITY,MULTI_METHOD_AGREE
INC-ADI-C8201-T1-R2-P-10d3a321,fc00:1000:3a::1,ADI-C8201-T1-R2-P,M1_alarm_library,1,True
INC-ADI-C8201-T1-R2-P-1cb330fa,fc00:1000:3a::1,ADI-C8201-T1-R2-P,M1_alarm_library,1,True
INC-ADI-C8201-T1-R2-P-a1ee1183,fc00:1000:3a::1,ADI-C8201-T1-R2-P,M1_alarm_library,1,True
INC-ADI-C8201-T1-R2-P-a8592dee,fc00:1000:3a::1,ADI-C8201-T1-R2-P,M1_alarm_library,1,True
INC-ADI-C8201-T1-R2-P-c62a3981,fc00:1000:3a::1,ADI-C8201-T1-R2-P,M1_alarm_library,1,True
INC-ADI-C8201-T1-R2-P-cf2a9734,fc00:1000:3a::1,ADI-C8201-T1-R2-P,M1_alarm_library,1,True
INC-ASN-C8201-T1-R1-P-74fd629f,fc00:1000:1c::1,JP-C8201-T1-R2-P,M1_alarm_library,1,True
INC-ASN-C8201-T1-R1-P-cc602df3,fc00:1000:25::1,ASN-C8201-T1-R1-P,M1_alarm_library,1,True
INC-ASN-C8201-T1-R1-P-d914dfc5,fc00:1000:25::1,ASN-C8201-T1-R1-P,M1_alarm_library,1,True
INC-ASN-C8201-T1-R1-P-fd21909b,fc00:1000:25::1,ASN-C8201-T1-R1-P,M1_alarm_library,1,True
INC-ASN-C8201-T1-R2-P-365f7ad1,fc00:1000:26::1,ASN-C8201-T1-R2-P,M1_alarm_library,1,True
INC-ASN-C8201-T1-R2-P-8c077d0e,fc00:1000:26::1,ASN-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BHARAT-NAGAR-PS-N540X-PE-T4-NR-269515,172.31.53.206,BHARAT-NAGAR-PS-N540X-PE-T4-NR,M2_incident_id,2,True
INC-BINA-C8201-T1-R1-P-0f0960b6,fc00:1000:1d::1,BINA-C8201-T1-R1-P,M1_alarm_library,1,True
INC-BINA-C8201-T1-R2-P-84a70a2e,fc00:1000:1e::1,BINA-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BINA-C8201-T1-R2-P-86b1e72f,fc00:1000:1e::1,BINA-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BSL-C8201-T1-R1-P-46745028,fc00:1000:21::1,BSL-C8201-T1-R1-P,M1_alarm_library,1,True
INC-BSL-C8201-T1-R1-P-49746542,fc00:1000:21::1,BSL-C8201-T1-R1-P,M1_alarm_library,1,True
INC-BSL-C8201-T1-R1-P-8e778448,fc00:1000:21::1,BSL-C8201-T1-R1-P,M1_alarm_library,1,True
INC-BSL-C8201-T1-R2-P-87c7b70c,fc00:1000:22::1,BSL-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BSL-C8201-T1-R2-P-9d1ce1f9,fc00:1000:22::1,BSL-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BSL-C8201-T1-R2-P-ed55a0ea,fc00:1000:22::1,BSL-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BSP-C8201-T1-R1-P-8f17d395,fc00:1000:3e::1,NGP-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BSP-C8201-T1-R2-P-16cbd727,fc00:1000:24::1,BSP-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BSP-C8201-T1-R2-P-311dc074,fc00:1000:24::1,BSP-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BSP-C8201-T1-R2-P-668e1827,fc00:1000:24::1,BSP-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BSP-C8201-T1-R2-P-7602d89c,fc00:1000:24::1,BSP-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BSP-C8201-T1-R2-P-9cc90856,fc00:1000:24::1,BSP-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BSP-C8201-T1-R2-P-ea68908c,fc00:1000:24::1,BSP-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BZA-C8201-T1-R1-P-a0d5388c,fc00:1000:29::1,BZA-C8201-T1-R1-P,M1_alarm_library,1,True
INC-BZA-C8201-T1-R2-P-08381075,fc00:1000:2a::1,BZA-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BZA-C8201-T1-R2-P-7d972fe6,fc00:1000:2a::1,BZA-C8201-T1-R2-P,M1_alarm_library,1,True
INC-BZA-C8201-T1-R2-P-9507020a,fc00:1000:2a::1,BZA-C8201-T1-R2-P,M1_alarm_library,1,True
INC-Baroda_House_MX-204-cfabf4bc,172.31.33.46,Baroda_House_MX-204,M2_incident_id,2,False
INC-CGDA-HQ-J2.2K-PE-T4-NR-269514,172.31.46.196,CGDA-HQ-J2.2K-PE-T4-NR,M2_incident_id,2,True
